document,time
"At first it seemed to be for a large group event, I can't remember the details. Sky(?) and I We had to take a train to another city, but we ended up getting on the train at the first two times, and the third time we were late because we spent a lot of time waiting for the elevator. The third time we were late because we had to wait for the elevator. We simply went to the hudson river side. In the meantime, we found out that the tickets could be rescheduled for another time.
The next scene was driving from home to NYU, and I found Xuzheyu's car next to the weinstein, and I was curious to open the door, when he sent me a text asking if I wanted to test drive it for $5 a time. I thought to myself, ""I have to charge for this, so I asked him if I could do it for free - I was just going to union sq there, very close.",
"I dreamed that I was driving with a friend because I suddenly tried to control the steering wheel with my foot for some reason, causing the car to not turn at the intersection and run into the reverse lane, I hurriedly slowed down and ended up stopping in the middle without hitting another car. I turned the car around to the left side of the intersection and stopped at the side of the road, very afraid that someone would call the police and the police would check us out. As a result, not long after seeing a police officer walking towards the direction we just went against the traffic and looking over and making a phone call, I was afraid he was coming for us. However, he just seemed to be passing by, so I was relieved.
The next scene was in New York, where I went to an event and Gaoteng and others were there. I went to his house to look for him and found him in a 2b1b in upper east, sunny and not too expensive, only 2,000 out of pocket. In reality, I heard Gaoyixuan say the night before that he came to New York to see the school and happened to live near upper east. And in reality Gaoteng also works in upper east.",
"I dreamed that Sydney Krueger was back and we went for a scan, then on the way back I saw her in a bit of a trance. I thought about the pain she had been going through recently and tried to comfort her and she said it was okay, leaving a line of tears in the corner of her eyes at the same time. I cried too (in reality and in the dream).
The next scene was about to take a flight to an academic conference, and I ran into David Rand at the airport (a very modest room), I was a little excited and went up to talk to him and found out that he spoke Chinese. I thought he was at mit business school, so I asked him if he knew Guanan Lu. He said yes. I asked him if their research was similar - surprisingly, he said it was not the same at all, and I tried to add that they both studied morality [in reality, our department was going to talk about it next week in DR, but it was temporarily cancelled]. I remember two of them seemed to be arguing over the timing of the flight, but I can't remember the details.",
"I dreamed that I was back in my high school classroom, and I was preparing to go abroad, and I had fallen behind in my schoolwork. The teacher (biology or chemistry) asked the students to write a concept on the blackboard, and I was standing on the far left side of the board, trying to write a concept but couldn't think of what the word was. I was a little embarrassed. The main scene is the rdfz high school building, or the building of the Cui Xiao No.1 branch].",
"Dreamed about yesterday's scene in reality - asking Kevin to sign the opt document in the lab. Unlike in reality, after Kevin signed one copy, I found out there was another copy, so I asked him to sign it again. After signing, I found another copy. Kevin looked a little impatient and his signature was very different from the previous style.",
"One scene was at home, I was drinking what seemed to be hot and sour soup, with Dahu and Dad nearby, as if to say I had bad skin.
One scene was playing a tennis match, it seemed to be an open tournament, I was playing well and my opponent missed a backhand return. I had several similar tennis-related dreams].
There was also a scene in the lab where I interacted with Kevin, but I can't remember the content.",
"I dreamed of attending an event with my classmates from NPCA. After coming out I was next to Liu Haoyang and asked her something, but couldn't remember.",
I dreamt of attending an event with Sky. I can't recall the details for now.,
"Some time ago, I promised a professor (probably john richardson) to help me book tickets to an academic conference. I didn't book until a few days before the start of the conference when I found out that the special tickets were almost sold out and that the seven people who were supposed to be there could only split into two waves and go in two days. So I bought two tickets for Wednesday and three for Friday.
I checked out from the room, but then went back a few times to use the bathroom. Kevin didn't seem to like them very much after communicating with each other and complained to me a few times.
found Ryan Carlson at the conference hall [he followed me on twitter the night before], and Molly was around. I was chatting with them and was a little overly eager to present myself and express my familiarity and enjoyment of Ryan Carlson's research, so he asked me: Do you know what factors affect the taste when making orange chicken? After thinking about it, I was ready to answer: Based on my experience in making kung pao chicken, it's the temperature of the oil.
Later, we found out that the other party belonged to an organization, and the head of the organization opened a factory to do illegal business. Our group of two fought with him and eventually he was beaten and released the poisonous gas that the factory was producing and died with the factory.
Take the train/subway to go to the movies and plays, it's hard to watch, the theater air ventilation is also bad, after saying good and children to see I also do not see. A little bit of guilt.
Went to the Chinese version of the Les Miserables musical with a friend. After watching for 5 minutes, Mr. Tang got up and left directly.  
Finally it was time to go to Seattle for sans, which was to start the next day, yet I hadn't bought a ticket. Some anxiety, asked Sky how to make the plan, she said the ticket is too expensive, intend to take the bus to go. I said is money important or your health important? She said healthy or unhealthy I have not counted, and then friendly poked me.",
"I dreamt of meeting Kate Wang [who I follow on insta]. She told me her Chinese name was Wang Xiao [in reality her name is Wang Yunyi, but I didn't know it at that time].",
"Dreamt of walking with a friend all the way south along a parade in central park west and passing the natural history museum when we decided to steal something from an apartment. The apartment was occupied by a young woman who appeared to be taking a nap when we entered. We entered the elevator from the top and made our way into the room, confirmed that the lady was still awake, and started moving her belongings. However, this seemed to fail for some reason. The second time we did the same thing, but this time, we found the hostess awake and sitting on the couch looking at us as we moved our things out of the room. I was seen first and pretended not to recognize my companions and warned them loudly that I was going to call the police, thus escaping the mistress' suspicion. However, because she had already seen what we looked like, I did not burglarize the house a third time for safety reasons.",
"I dreamed that I was back in middle school / or high school and a group of students were lined up in a long line on the playground, preparing for the commencement ceremony [had many similar dreams, once was in the NPCA playground for a running race, halfway through I stopped at the middle school minions and rested. Another time was watching others participate in the opening ceremony in the southwest corner of the playground where the pull-ups were; there were also several times when I was playing soccer/running laps in gym class in the playground (I didn't seem to feel tired)]
The next scene came to the Champions League match [reality is underway]. Manchester United decided to cancel the second round with Bayern, do not remember what the reason.
Then the next scene came to the bobst (or a library) to take the elevator, to a layer of frequent self-study. There was a row of tables with computers in the middle, and I was going to study in one of them [this scene had come up before - kind of like when I was in computer class in high school].
Matt came to New York. We discuss the problem of data abalysis.
Reading statistics book at bedside
St marks on the memory of being bullied
I can't remember the exact circumstances of the above three scenes
The next scene met Professor Lu, ready to go to the haircut together, I followed him to a barber store he often went to.
After that, I came to the gym and happened to meet Mike Berkebile and a friend of his in 55west77 fitness photo; I found this apartment next door to my house [in reality there is no such address].
In the last scene, I was at an NBA game and I was one of the players on the court. I did well and scored a super long three. [Dreams about playing basketball: a couple of times at the NPC Central School basketball court (both big and small courts); another time playing with someone else at NPC, the basket seemed very high; and a couple of times at Cuiwei Primary School]",
"When I went to Kevin's house for a party, Kevin's two children were there, and Kevin wanted me to draw a portrait of Lila.
After that, I took the subway in New York City to participate in a competition (it seemed to be a singing competition). Me and ryan (or maybe it was someone else, I don't remember), came out of the subway and realized we went to the wrong station, and I was a little frustrated thinking that it would cost me more money to go back. Luckily, my partner and I did well in singing and made it to the final round.",
"I dreamed that in the classroom, Lila was talking about a math problem on the stage (an Olympiad problem?). Many students around me, including Sky, had done it, but I hadn't. The teacher had already started talking about the solution, and I was a little anxious, so I could only follow and take notes. At this time Lila came over to check our notes.",
"I dreamed of going to equinox fitness and brought a friend to experience it. Halfway through, I met a fitness consultant who spoke Chinese and she said you can only bring one person to experience it because the quota is used up. Then I went to the locker room and planned to swim with Lee Ho-woo. I changed clothes for a long time and finally got into the water, yet I didn't feel the water surrounding my body. I thought, ""I think it's been a long time since I last swam.",
"A vacation to an island with many people required a bus ride to a remote golf course, and although it was summer, there was a lot of snow there.",
"In a party, I finally asked Kevin when would you be available to meet. He said next Monday (although the precise time was not determined yet). [In reality I have been trying to schedule a meeting with him for a while, but unable to do so).
In the next scene, a group of us (I can't remember who exactly) were outside a building, fighting against an evil force. I knocked out many of their members with a shovel. However, suddenly their leader flew out of the building, and it turned out that he was a reformed man with special abilities, and I knocked him out while he wasn't paying attention, however, he then stood up, completely unaffected.",
"I dreamed I was back in high school class, I couldn't keep up with the teacher's math because I missed too much class (probably because I came to the US to go to college), and I heard I was going to take a test soon and was very anxious [I've had many similar dreams, mostly when I'm about to take a test and find that I haven't done the test content and exercises, and also when I've had a lesson in the labor class but haven't started doing my last assignment]. In the middle of the teacher decided to let everyone show their test papers, I thought of a way to put two chairs in the middle of the podium in front of the classroom, and placed a cardboard full of test papers on it, and finally stabilized it after a while [that afternoon I saw other people using a similar method to talk about moving cabinets out of the original lab - because the lab will be renovated soon].
The next scenario was that I was taking a shower at home, and when I came out I was wondering which new clothes to wear, and then Yanshu called me out and asked me to go running with him along the Hudson River. I said you wait for me to get dressed, but he forced me to go straight out and run, although some embarrassment, but thought no one knew me, I went out running naked [also had some dreams of wearing very little to go out, and sometimes be embarrassed by acquaintances bumped into wearing fall pants or underwear], ran a lap I returned to the apartment, knocked on the door to wake myself up. It turned out that Yanshu had found a way to get into my dream and use it to wake me up. I later told this story to someone else on different occasions, the first time I think with a classmate from high school, and the second time with a girl I had just met, a topic that slightly eased the slightly awkward atmosphere at the beginning. I thought to myself, don't let the students hear me repeat this.",
"Dreamed of scan lab meeting, for lunch we ordered grilled leg of lamb, which tasted good.
I dreamed of going back to China for a week on vacation, and it was short, so I hoped to arrange to see my friends-fgr, Bao, etc. But it didn't seem to go well, everyone couldn't match the time. But it didn't seem to go very well, everyone couldn't get the time right.
The next scene was in a strange city (seemed to be domestic, but not sure), I went to see someone, ta live in a fancy apartment, I walked through an abandoned parking lot to his building (the building was in a rotating twisted shape, like the fancy apartments over in Chelsea). Then I heard from someone that there was another apartment in the back that was very popular with Chinese students, cheaper than this one, but also in worse condition (somewhat like Zhuxinyi's apartment in Beijing).",
"Dreamed of attending the lab meeting. While having a discussion on the MURI project, Kevin asked me: so whats YOUR plan, given you're applying to grad school. I was very relieved that Kevin still remembered my future plans. I said I was going to analyze alcohol images. But everyone seemed to have some doubts about this idea.
The next scene went to a playground where I, Xuan Xuan and others were talking to a girl, but I can't remember the details. After that I turned around and saw across the room was Jiang Bo and Ding Zhi Zhen. I was very excited to say hello to them and asked them where they were now, Jiang Bo said he was in berkeley law school, I asked him if he was in New York he said yes. After that I went to the playground and saw a few soccer balls in the corner and kicked them, but didn't dare to drive a big kick because I was afraid the owner would be upset.",
"The first segment was talking with Tong Hui and others, listening to him talk about traveling to Hainan and around Hong Kong. I was surprised at how there were so many islands over there that I hadn't been to. Then the group was ready to leave and I suddenly felt sick to my stomach and intended to go to the toilet, and then woke up. In reality, I also had diarrhea, so I got up to go to the toilet.
The second paragraph, I dreamed of a and Ovidia went to scan fmri, she let me lie in the scanner, however I forgot to take out the key, holding two metal bars, the result felt the magnet in the attraction, almost failed to take out the metal bars, some fear. I do not know why, even after taking away the metal, every time you enter the scanner head will still be a sharp pain.
The next scene in the sans venue. I saw a lot of people in the hall waiting for the meeting to start.
The next scene in a monument valley like the castle, my friend and I and a group of people to phone a series of things to complete the task. Eventually, when some series of props were collected we pulled the switch together and dozens of faucets around the circular platform we were on started spewing fire. The original platform is a primitive spaceship, by spraying fire to push us off the ground. [Think of a dream of going into space as an astronaut, and a floating in space] The operator of the platform was a woman, who seemed to make some mistakes at first, causing the ship to almost flip over completely, although we did not feel the weightlessness. After that the ship began to fly forward along the streets of New York, sometimes high and sometimes low, and I thought to myself how long the fuel alcohol would last, and the captain said about fifty-two minutes. Eventually we would land on a plaza platform. Everyone got off the ship and took a group photo together, and I spotted some relatives from my old home around me.
Then after that was a chat with Christina, a friend from the rdf party (had some good feelings about her), and watched her return each message for a good long while.
Finally dreaming back to the scene where the spaceship was, Rina showed her photography work, and the female version of Chen Zhe was complimenting her on her passion for photography and having an eye for beauty. I saw that Chen Zhe had a lot of makeup on, but it didn't look very good. And thought to myself that I was completely unaware of Rina's talent for photography before.",
"I dreamed I had a movie date with Ms. Dong, but for some reason she didn't show up, I walked through a somewhat chaotic commercial area to a restaurant and saw her and Harry, (lsh seemed to be there?) But not with Pengjiyuan and others at dinner, I was a bit speechless, and Harry said a few words and left. I think she texted me later to say sorry, but I didn't reply.
Then I got a text from Sydney Krueger saying that she had an urgent file for me to handle and needed to get it done before 10:00 because her flight left at 10:00. (Her tone was playful at first glance, but serious on closer inspection.) I said no problem. After that I started working on the file and copied it to the CD.",
"Mr. Tang and I went through a revolving door, he was in front and I was behind, he went in before my door just to talk about the latest season of Game of Thrones, I saw that he also watched it, so I was ready to have a good discussion with him.",
"I dreamt that I met Tor Wager somewhere (it seemed to be a school) and I networked with him. He asked me who I was going to apply to and I said Molly, Mina, and Darrel Cameron. he didn't seem to have heard of the third person, so I repeated the name. He said cameron is a possibility for you (meaning the other two are too competitive and don't have much of a chance), so I was a little disappointed. After that wager asked me if I wanted to run an errand for him to proctor an exam, which started at 2pm. I looked at my watch, and although my event started at 4:00, I didn't want to proctor the exam, so I told him I had an event that started at 2:00 and stonewalled it.
After that the scene (and probably before the tor part) came to a large party where the participants were all my classmates and friends, including Yanshu, the head of the soup, and others. When it was time for lunch, a group of us brought the rice we had weighed in the morning and prepared to heat it up. Because we had a feeling that there would be many people using the microwave oven, another friend and I left early. We ended up heating up our food without any problems.
In the middle of the meal, I was talking to my friend and saw Lydia, who looked back at me. I wanted to get some more food after everyone had almost left, so I went back to the cafeteria, only to find that it was basically finished and only a few cafeteria employees were eating at the originally crowded tables.",
"I dreamed of this one very cheerful event being held on the streets of New York. And Central Park was holding a cherry blossom festival, cherry blossoms were opening all the way along the cistern, and I went ahead and got in line, and at the beginning I was not far from the entrance to the park, and probably shot half an hour to go to the lake to see the cherry blossoms. However, Li Haoyu which was called me to an event, I left the line and went with Li Haoyu, this was looking back and found that the line had already exited the park to columbud vircle, I was a little frustrated. At the event, we were on (on the subway?) We ran into Zhoujiabao (Li Haoyu's ex-girlfriend). She seemed sad because she and Li Haoyu had separated, and then Li Haoyu was also torn. We played a lot of little games (amusement park kind) along the way, but I can't remember the details.",
"I dreamed of going to class with Professor Lu and found a time travel back to freshman year to go to class, we were so excited that we decided to take a few more freshman classes to brush up on our credits. In one class, I heard what the professor was talking about and remembered a loved one who died many years ago and was so sad that I turned my head and cried. Once I was in a philosophy class in a basement classroom, and I realized I forgot to prepare for it. Another time I dreamed that I was at Cuiwei Elementary School, and I went to my math class and walked through the hallway and took the wrong classroom several times].
After that the scene came to 1802 [similar scenes often appeared before, very early, elementary or junior high school, dreamed of wandering in front of 1802 and finding a quarrel in the opposite room (also in reality), or hiding behind the club door from the poisonous gas spreading in the building, or taking the elevator up or down, or looking for a bicycle in the garage in the courtyard downstairs, or walking on the path on the lawn, all the way to A forest surrounded by mist, Hop on a high-speed train], I was very sad to find the cat was starving and very thin as I had forgotten to prepare food for it for several days.",
"I dreamed of walking through the hallway of a luxury apartment in Chelsea, New York, next to a large lawn (like riverside park) to a small open-air plaza with many restaurants, where my friend and I (maybe Peter or Professor Lu?) I ordered a bowl of ramen, but I had to leave before I finished it. The sun was setting next to us and it was beautiful.",
"I dreamed of taking a language entrance exam, I had not studied for a long time because I was preparing to go abroad, so I was a little anxious not knowing if I could finish on time. When I finally wrote the essay, I had less than an hour to go, thinking that I still had time, and when I had ten minutes left at the end, I started to do the last question that I had skipped at the beginning. However, I had no idea how to write it until the last minute, so I hurriedly started answering the question but ended up not finishing it even at the risk of timeout.
In the next scene, I had an appointment with a high school/college friend to meet at a restaurant, although I had already eaten a little after the exam. I used the map to search out a number of restaurants with the same name and thought we were going to Brooklyn, so I hurriedly rode my bike over and came to a remote corner after half an hour, only to find out that it was a real-life cs. then I contacted Jiang and others and found that I had passed the original one I was going to (not far from a KFC), but now I have to go back for a long time. [went to Roosevelt Island the night before to play tennis and took the wrong subway]",
"One of the scenes was a dream where I was riding the subway in the city (it seemed to be New York) and there was Maoxinyi standing across the street, I talked to her for a few minutes and then found her holding a baby, I asked her if it was your baby and she said yes, I said how cute it was.",
"I thought about what would happen if I studied architecture, so I dreamed of being an intern in an architecture company, the company is not big, about 20 to 30 people, the office is on the third floor of a building, after going in everyone is busy, after a while before someone greeted me, I walked all the way over and saw the drawings they drew, thinking I can't do any of these.",
"[I had an fMRI scan this morning] I dreamed that I came to the lab (the layout of the room was not quite the same as in reality.) Sky was sitting opposite the door and my desk was on the left hand side by the window. I wanted to buy two bottles of water (small Poland Spring) before I came in, but I was a little upset to find that it was $11. I had a lot of dreams about buying things at the kiosk/supermarket, often in the NPC cafeteria, the swimming pool, or some supermarket in New York or the U.S. I once dreamed (probably in Portland) that I was shopping in a big convention center, playing a game of hide and seek, and my friend hid a roll of toilet paper in the entire wall of merchandise, from which I had to search. Looking.] When I arrived at the lab I asked Kevin if he was coming and found that he hadn't arrived yet, so I was ready to go ahead and scan.",
"Attended NYU and Columbia graduation ceremonies [looked up Columbia University and NYU on Wikipedia the night before
Time came on graduation day. I first watched the Real Madrid Champions League quarterfinals against an opponent I can't remember because the first round was tied zero to zero and Real Madrid was eliminated zero to one on aggregate. I was a little depressed and was half an hour late for my last class because I didn't leave in time after the game. Rode to school in New York and took the motorway quite a bit along the way, which was a bit dangerous.
After that, I came to the graduation ceremony and ran into Du Xiao Xiao, because I had some good feelings for her, so I wanted to chat and talk to her, but she seemed to have a good relationship with Xu Bao Yi, who graduated from Columbia at the same time, and I was a little depressed watching them sitting together happily chatting. After that, Xu Huo Yi invited us to the graduation event of Columbia University, we came to a shed with more than two hundred people, and then found that only twenty to thirty people were there, and basically all were Chinese students, so I thought, these American students probably can't wait to graduate and go to the party. After the event, the school provided a lot of free food, and I had a lot of fun.
In an alley watching the sunset to shoot the children playing, several people dancing in a circle, I hurriedly took out my phone and shot dozens of pictures, very excited. I had a similar dream of seeing beautiful scenery and taking pictures, once again camping at the top of a mountain and seeing the Milky Way, and once in a seaside town, like Antalya, Turkey, where the Milky Way was colorful and visible to the naked eye. Some sadness after waking up to find it was a dream]",
"Watching a police procedural and not sure if it's a documentary or a movie.
Install a bookshelf at home.
Play Total War with Bao (twice).",
"Attended a class reunion, met some people I had heard of but didn't really know, and gaoyi intelligent walking in a hall met Shangguan, then met Fan Wei, later I drank a lot of wine myself, my head was very dizzy, so I sat in a small room like Victory to rest, when a friend (Evelyn?) came over and talked to me for a few minutes.
The next scene was when I went to a factory, which seemed to be Tesla, and two managers asked me to be their small self-driving car, which was moving fast but avoiding obstacles in a thrilling way every time, and later I heard one of them hint that they wanted to start a business with the technology they had developed.",
"I dreamed that my dad was sick and I was sad, but then I found out it was a hoax. I wasn't angry or anything like that. Only to see and also have some interaction with Wukezheng.
The latter dream came home and not surprisingly I saw Kevin leaning on my chair waiting to MEET me [in reality I was supposed to MEET him the next day] I talked to him about some of my RESEARCH goals, but somehow couldn't remember the names of the professors.",
"I dreamed of having a dinner date with Professor Lu [in reality I had to have a date with him at ise restaurant]. At first he wanted to order a $40-50 imported vegetable rice, I refused, saying it was not good and too expensive, then we ordered egg custard and salmon over rice, I picked what I needed from a large portion and asked the waiter to take the rest away. I also thought about changing to another cheaper Japanese restaurant, which often occurs in my dreams - the space is small, the customers are sitting at the two sides of the counter, and the fried chicken rice seems to be better. There were also a few times in the narrow hutongs of Beijing].
I went back to my high school class and wrote an essay, but I can't remember the details. I was a little surprised to find out that Hu Jiang Yue and Harry were together on Instagram - I thought they knew each other [and mistakenly thought Hu Jiang Yue was from the International Section of NPCA]. Tong Hui said, recently we talked quite a lot, good.
Later, I attended an event, like in a movie, and met some survivors of the Nazi Holocaust. In a place like a nursing home, there was a lady whose family sent her some items, and the atmosphere was very sad, and I cried.
The last scene I remember was on the subway, there were some professors sitting across from each other, Molly, Mina and the female version of Darrel Cameron, all seemed very friendly and strengthened my determination to apply to their lab. I think it's normal that they didn't come this time because it' s so far away in Jamil.",
"Came to Whistler to ski, but took a bus to talk about the streets of New York all the way up (the snowy mountain was not far away). My friend got off the bus halfway through and planned to start skiing on a slower slope, while I planned to get to the top of the mountain. I was excited on the way, but when I got to the top I decided I needed to buy skis first, and after picking and choosing I finally seemed to pick a pair, and then saw that there were nio Azure cars being sold on Amazon for about $16,000, and they were already booked for three rounds of production later.
The first time I saw a nio Azure, I saw that it was being sold on Amazon for about $60,000. I was skiing very fast and was a little worried about falling into the cliff in front of me. There were also a couple of trips to Colorado or Whistler's dream, once in an amusement park-like scene, seemingly with Tong Hui, and another time in a snow store trying to find the right equipment].",
"Visiting the rooftop of an apartment in New York, with Liu Hao Yang and others. I point to Eugene's rooftop not far away, which seems to be the highest observation deck in New York.
The next scene (and possibly the last one) I visited a city (not sure if it was domestic or foreign) and stayed in a small hotel [had many dreams about staying in a hotel, a few times in very cramped rooms with no light and no air circulation, in reality probably with my head covered in the blanket]. I wandered around the streets and ate at the street-side restaurant below the hotel, which seemed to be a Chinese roadside snack.
The next scene was a meeting with Kevin, before the meeting he texted me a template for a performance evaluation form, based on what an old professor had used, and I thought it would be good.",
"I dreamed that I went with a friend to get a tattoo, in a Hunan and a little shabby store, generally before the tattoo to give anesthesia to the arm, I see the environment is a little poor, some worry about the pillow is not clean, but still played. However, my right arm is not completely anesthetized (may in reality be pressed into the numbness), while the left arm is not anesthetized at all. Tattoo big brother (a bit of a fierce one) said you can use the laser directly, but I was a bit afraid of pain, so I said no tattoo. Brother seemed very angry, said I had to come back at a later date, I perfunctorily said yes.
The next scene was in a square where it was raining heavily and the sun was pouring down from the clouds, lighting up the whole square in golden color. I seemed to be waiting for someone, or completing a task, half asleep and repeating some operation, but couldn't remember.",
"Basketball court; hang out with friends, finish up programming assignment on laptop (sort of anxious); going to an exhibition with a girl, thinking she might be into me.
A huge exhibition hall, people playing quartet in the middle; I said it was Schubert but it was in fact Mendelssohn. During lunch hour much fewer people around.
Next scene was Harry and I in Beijing, we killed a person who we argued with and cut open his face to destroy the evidence. There were people walking past but they did not seem to pay attention. I took the dead’s cell phone with me, lest the police was able to identify him through the phone. I decided to throw away the phone at some distant trash bin. Harry and I boarded a bus, not sure where it’s heading (since I did not recognize the stop names). Then I woke up.",
"I dreamed of traveling to the Arctic Circle. I was accompanied by my mother, Tong Hui and his girlfriend. However, Tong Hui couldn't come temporarily, so I thought his girlfriend wouldn't come either, but I finally met her at the North Pole. At first we stayed at the hotel, and I went out alone to explore the surrounding area, and saw that it was well built, with a few basketball courts under a bridge, and a few people playing ball [the scene was somewhat like the court under the riverside drive; I would occasionally pass by before coming home]. I went back to the hotel and observed my room, and found a total of three beds, two on the first floor and one upstairs, but in the same large space as the bed below, which was a bit worn. My mom and I headed to a tourist attraction where there were a lot of people and there was a helicopter tour and what looked like scuba diving. My mom and I discussed whether to sign up. At this point it seemed that the program manager there started to hunt me down and no matter what I did, I would end up being ""killed"" by her and then started from scratch, seemingly in a game that I tried to resist in the middle, but not very successfully. Finally I found Harry (who had traveled to the North Pole before). Together with him, I tried to resist the managers. I can't remember the details after that.",
"When I attended the graduation ceremony of RDFZ, I saw that Tong Hui was interviewed on the Spring Festival, and I felt admiration for him.",
"I dreamed of attending an event (study?) with Prof. Lu. In the middle of the event, I talked about my future plans, and Prof. Lu kept questioning me if I really wanted to do research, and if not, I should not lie to myself and should go and make a decisive choice. I was a little anxious after listening to it.",
"What I remember are mostly clips. One of the scenes was on an Asian food street [somewhat similar to the one that appeared before]. I was planning to go to dinner with Mr. Tang and others, but I felt a little bloated, plus I wanted to be alone for some reason that day, so I didn't go with them. I was a little envious when I heard later that they had gone to a fish hotpot.",
"The first scene of the dream was from the perspective of a robber [just watched an episode of Detective Conan about robbers the night before (Ripple's Magician)] and an accomplice to attack a building. We released the gas on the second floor to the first floor lobby, then my accomplice decided to go downstairs to continue the robbery, but I was afraid that the police would come after me, so I ran to the roof of the building rooftop, after going up I tried to mix into the tourists on the rooftop, however, or sad a police officer recognized, see him coming towards me, I ran towards the edge of the rooftop, and finally leapt and smashed into a car on the ground. This is the scene cut back to myself, I passed by the block, and saw that this fallen fugitive did not fall to his death, but badly broken bones can not move. And his other accomplice was also killed by the police during the attack downstairs.
One of the scenes after that was taking a shower at home, the corner of the bathroom was dirty and I felt a little uncomfortable.
The scene after that is really a street in Beijing, my family's car was stopped by the traffic police, the traffic police began to investigate my father's income status [the day before I saw the news that James Harden was fined by the traffic police for riding an electric bike in Shanghai].
The scene after that was back in the high school classroom, I sat in the last seat of the rightmost row of the classroom, after that came to a van, encountered a problem (do not remember exactly what it was), and then the Chinese and Americans in the car gave the solution respectively - the Chinese decided to take turns to monitor the progress of the plan and put a lot of manpower and resources, while the Americans decided to use an extremely energy-consuming technology to (?) to keep the car warm.",
"I dreamed of buying an electric piano [similar dream done a few times before, once when the piano broke down and was played at 1802]. Someone else asked me how much it cost, and I didn't have the heart to say $1300, because I felt my level was not worthy of that price. However, he (it seems to be DeHo) then asked, is there 800, I was a little embarrassed and had to say, almost.
The scene after that seemed to be a car ride somewhere, with the family, and it seems there was Wukezheng, but I can't remember the details.",
"I dreamed that I was traveling to Norway/Iceland with my classmates and before I was about to leave for the airport, my friend who was passing asked me if I had a visa. I said I had done a Norwegian visa before, but not for Ireland. When I got there I was a little disappointed once I saw the aurora borealis and seemed to see a green light appearing in the sky, but wasn't sure if it was a reflection effect from the glass or the real aurora borealis, and later found out that it seemed to be an illusion.
After the scene came to the universe, I looked at the rapid movement of other planets from the perspective of a planet, I observed their trajectory and felt very shocked. I had similar dreams of exploring in the universe before, once as an astronaut entering near-Earth orbit and going out of the warehouse to investigate, but then seemed to fly back to the surface; and once exploring between planets, seemingly in a computer game, fighting with enemies]",
"I dreamed that I was in New York, late and still awake, a gala was being held on the street, I rode the citibike out for a stroll and bought several boxes of candles, both large and small, and I went back to my apartment thinking they would probably make the room air smell nice, after which I looked at my watch and found it was after one o'clock, so I hurriedly got ready for bed, after all, I had to go to another NYSPI meeting early the next morning (just like in reality).",
"The dream was divided into two parts, the first was having a female friend over, then she started undressing and then we started having sex (although I knew she had a boyfriend).
The second scene was in high school, where we seemed to be handed over to the building for criticism by the head of the year group for opposing the teacher's arrangement, and I was a little scared but convinced I was right, so I also walked out firmly.",
"The movie seemed to be more than three hours, I had already watched it that morning for some reason, but there was a section in the middle that I hadn't seen, so this time I purposely went out with Li Hao Yu with the intention of making up for it, after watching half of it, I wanted to go to the bathroom, so I went out first, but stayed outside for a little longer, so when I came back the movie had already passed a big part.
The next scene was in the big playground of RDFZ, I was recording a video with a classmate across the street (can't remember who) while Raissa was standing next to him, the video had him asking her a question, but can't remember.
Before I finally woke up, I dreamed that the subject who had called earlier to provide information about the IMPLANT called again and asked about scheduling, I heard her voice seemed a bit impatient (in reality, she should be a very nice person) and told her that someone was already arranging it.",